               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.021421,           0.0075745,          0.00014815,             0.96749,             0.93939,             0.97566,             0.77426,            0.016758,           0.0053467,          0.00013054,            0.005479,            0.005479,            0.005479
                 139,            0.021989,           0.0079029,          0.00013539,             0.97065,             0.94528,             0.97673,             0.77887,             0.01619,           0.0052434,          0.00011945,            0.005446,            0.005446,            0.005446
                 140,            0.021247,           0.0076223,          0.00013295,             0.96122,             0.95017,             0.97613,             0.77697,            0.016169,           0.0052183,          0.00013869,            0.005413,            0.005413,            0.005413
                 141,            0.021984,           0.0075138,          0.00014115,              0.9643,             0.95263,             0.97567,             0.77974,            0.015987,           0.0052797,          0.00014381,             0.00538,             0.00538,             0.00538
                 142,             0.02159,           0.0077458,           0.0001332,             0.95645,              0.9544,             0.97513,             0.77672,              0.0163,           0.0052392,           0.0001253,            0.005347,            0.005347,            0.005347
                 143,             0.02124,           0.0074264,           0.0001195,             0.95686,             0.95802,             0.97573,             0.77817,            0.016116,           0.0050994,          0.00011933,            0.005314,            0.005314,            0.005314
                 144,            0.022746,           0.0078787,          0.00013811,             0.96648,             0.94329,             0.97404,             0.78174,            0.016031,           0.0051945,          0.00013004,            0.005281,            0.005281,            0.005281
                 145,            0.021076,           0.0078926,          0.00014604,             0.96466,             0.94648,             0.97605,             0.78412,            0.015729,           0.0051443,          0.00013649,            0.005248,            0.005248,            0.005248
                 146,            0.021747,            0.007612,          0.00015086,             0.96464,             0.93942,              0.9752,             0.77534,            0.016024,           0.0052608,          0.00014427,            0.005215,            0.005215,            0.005215
                 147,            0.020938,           0.0076539,          0.00016798,             0.96794,             0.94721,             0.97572,             0.78517,            0.015942,           0.0051577,          0.00012116,            0.005182,            0.005182,            0.005182
                 148,            0.020993,           0.0076819,          0.00012574,             0.97094,              0.9398,             0.97425,             0.77678,            0.016005,           0.0051917,           0.0001309,            0.005149,            0.005149,            0.005149
                 149,            0.021065,           0.0073085,          0.00013985,             0.97374,              0.9439,             0.97463,             0.78218,            0.015559,           0.0050931,          0.00015008,            0.005116,            0.005116,            0.005116
                 150,            0.021649,            0.007841,          0.00013969,             0.96698,             0.94837,             0.97652,             0.77978,            0.015852,            0.005081,          0.00015169,            0.005083,            0.005083,            0.005083
                 151,            0.020852,           0.0076444,          0.00012632,             0.97398,             0.94627,             0.97558,             0.78443,            0.015839,           0.0050833,          0.00011246,             0.00505,             0.00505,             0.00505
                 152,            0.020798,            0.007574,          0.00013361,             0.97016,             0.94368,             0.97608,             0.78015,             0.01606,           0.0051411,          0.00013492,            0.005017,            0.005017,            0.005017
                 153,            0.021267,             0.00773,          0.00012579,             0.96481,             0.95279,             0.97679,             0.78751,            0.015737,           0.0050735,          0.00011912,            0.004984,            0.004984,            0.004984
                 154,             0.02104,           0.0074113,          0.00015636,             0.96445,             0.95787,             0.97749,             0.78206,            0.016022,           0.0051057,          0.00011522,            0.004951,            0.004951,            0.004951
                 155,            0.020749,           0.0078074,          0.00012294,             0.96879,             0.95475,              0.9775,             0.78743,            0.015639,           0.0049607,          0.00010841,            0.004918,            0.004918,            0.004918
                 156,            0.021237,            0.007721,          0.00012331,             0.96856,             0.95135,              0.9776,             0.78895,            0.015428,            0.005046,          0.00011212,            0.004885,            0.004885,            0.004885
                 157,            0.021043,           0.0075504,          0.00012801,             0.97637,             0.95186,             0.97841,             0.78715,            0.015318,           0.0049871,          0.00011983,            0.004852,            0.004852,            0.004852
                 158,            0.020555,           0.0075293,          0.00012301,             0.97404,             0.95056,             0.97806,              0.7901,            0.015455,           0.0049176,          0.00010879,            0.004819,            0.004819,            0.004819
                 159,            0.020131,           0.0074921,          0.00012812,             0.96807,             0.95353,             0.97793,             0.79078,            0.015093,           0.0049413,          0.00012231,            0.004786,            0.004786,            0.004786
